,duration,checked,amount,fines,desc,lat,lng
0001A,3.99,4002.0,2700.5902201260283,6.112109624454686,"Adelaide Ave & Tourist Drive 5 & Kent St, Deakin ACT 2600, Australia",-35.3139,149.0995
0001B,164.41000000000014,151886.0,102494.21443629732,231.969985612175,"Hopetoun Circuit & Tourist Drive 5 & Adelaide Ave & Tourist Drive 6, Yarralumla ACT 2600, Australia",-35.31233000000001,149.10587
0001C,227.15000000000066,240761.0,162467.96651368382,367.7055535465604,"Adelaide Ave, Deakin ACT 2600, Australia",-35.31088,149.11324
0001D,144.64000000000001,123235.0,83160.22882989282,188.2123512168099,"Adelaide Ave, Deakin ACT 2600, Australia",-35.31073,149.11328
0002A,2.66,594.0,905.1654124096685,2.0920009967605284,"97 Antill St, Downer ACT 2602, Australia",-35.24864,149.14285
0002C,18.72,5438.0,8286.682681285822,19.15202259323864,"121 Antill St, Downer ACT 2602, Australia",-35.24843,149.14535
0002D,9.23,3523.0,5368.514727136805,12.407608605365894,"121 Antill St, Downer ACT 2602, Australia",-35.24855,149.1453
0002E,61.77999999999998,23229.0,35397.45347620234,81.80991776725642,"code
0002E    165 Antill St, Downer ACT 2602, Australia
0002E    165 Antill St, Downer ACT 2602, Australia
Name: desc, dtype: object","code
0002E   -35.24783
0002E   -35.24791
Name: lat, dtype: float64","code
0002E    149.14978
0002E    149.14976
Name: lng, dtype: float64"
0002F,3.99,1202.0,1831.6646897582855,4.233308414320126,"161 Antill St, Downer ACT 2602, Australia",-35.24796,149.14935
0002G,2.58,586.0,892.9746324445553,2.06382589916106,"251 Antill St, Watson ACT 2602, Australia",-35.24438,149.15914
0002H,27.029999999999987,8662.0,13199.567007226515,30.506586925824404,"293 Antill St, Watson ACT 2602, Australia",-35.24197,149.16217
0002I,12.200000000000001,5513.0,8400.971243458758,19.416164133233657,"363 Antill St, Watson ACT 2602, Australia",-35.23236,149.16648
0002K,2.3600000000000003,706.0,1075.836331921256,2.4864523631530857,"363 Antill St, Watson ACT 2602, Australia",-35.23181000000001,149.1668
0002L,13.14,4187.0,6380.349464241216,14.74614170612177,"309 Antill St, Watson ACT 2602, Australia",-35.24106,149.16362
0002M,2.58,834.0,1270.8888113630699,2.93725392474458,"243 Antill St, Watson ACT 2602, Australia",-35.24501,149.1587
0002N,9.23,2932.0,4467.920857214054,10.326173270205167,"170 Antill St, Downer ACT 2602, Australia",-35.24829,149.14927
0002O,1.33,160.0,243.81559930226766,0.5635019519893679,"170 Antill St, Downer ACT 2602, Australia",-35.24812,149.14928
0002P,6.49,2358.0,3593.232394717169,8.30461001744331,"97 Antill St, Downer ACT 2602, Australia",-35.24892,149.14297
0002Q,1.33,271.0,412.96267131821577,0.9544314311819918,"95 Antill St, Downer ACT 2602, Australia",-35.24879,149.14273
0003B,32.899999999999984,12442.0,1937.76058237876,4.395525104378546,"Athllon Dr, Torrens ACT 2607, Australia",-35.37929,149.09316
0003C,85.46999999999991,24975.0,3889.6938229311636,8.823198800984905,"Athllon Dr, Farrer ACT 2607, Australia",-35.3739,149.09302
0003D,14.72,4754.0,740.4045819505407,1.6794989829782678,"Athllon Dr, Torrens ACT 2607, Australia",-35.37329,149.09272
0003E,26.609999999999992,11968.0,1863.9381650786854,4.228069799807301,"Athllon Dr, Farrer ACT 2607, Australia",-35.37568000000001,149.09309
0003F,3.91,2837.0,,,,,
0003G,31.839999999999982,10122.0,1576.4356706990686,3.5759126431859545,"Athllon Dr, Farrer ACT 2607, Australia",-35.38032,149.09372
0003H,57.889999999999965,26312.0,4097.922877636227,9.295535809870463,"Athllon Dr, Farrer ACT 2607, Australia",-35.38007000000001,149.09397
0004A,7.9,6948.0,3205.1301486106613,8.201963377148813,"Belconnen Way, Bruce ACT 2617, Australia",-35.26052,149.09898
0004B,68.62999999999997,63255.0,29179.69308439369,74.67115622071792,"Belconnen Way, Bruce ACT 2617, Australia",-35.26032,149.09892
0004C,11.8,6374.0,2940.3424823322325,7.524368820660122,"Belconnen Way, Bruce ACT 2617, Australia",-35.26013,149.09488
0004D,84.63999999999996,114053.0,52612.940247480095,134.63709399164557,"Belconnen Way, Bruce ACT 2617, Australia",-35.25975,149.09446
0004E,113.18999999999991,89953.0,41495.54868422205,106.18756644569186,"Belconnen Way, Bruce ACT 2617, Australia",-35.25547000000001,149.08744
0004G,21.129999999999995,14852.0,6851.265539315708,17.5324640295645,"Belconnen Way, Bruce ACT 2617, Australia",-35.25181,149.07945
0004H,51.41999999999996,23338.0,10765.87901673512,27.55000306504015,"Belconnen Way, Bruce ACT 2617, Australia",-35.25185,149.0804
0004I,27.44999999999999,16220.0,7482.327433860812,19.147358373251834,"Belconnen Way, Bruce ACT 2617, Australia",-35.25115000000001,149.07759
0004J,20.099999999999994,13455.0,6206.825870690334,15.883335814556313,"Belconnen Way, Bruce ACT 2617, Australia",-35.25091,149.07757
0004K,10.33,6692.0,3087.0366946607,7.899760926868142,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24868,149.06943
0004L,40.549999999999976,19067.0,8795.655806499637,22.50818015430288,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24849,149.06958
0004M,5.24,1930.0,890.3139301696281,2.2783231603191143,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24580000000001,149.06197
0004N,3.91,1370.0,631.9844996540884,1.6172553003301486,"Belconnen Way, Belconnen ACT 2617, Australia",-35.2459,149.06263
0004O,5.66,2344.0,1081.2931877293306,2.7670411853823857,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24421,149.05857
0004P,1.33,527.0,243.1064462173026,0.6221120753824733,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24444,149.0598
0004Q,1.33,164.0,,,,,
0004R,18.380000000000003,4438.0,2047.2607368356526,5.238962790412554,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24518,149.06134
0004S,32.859999999999985,10798.0,4981.144983404996,12.746804914572952,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24883,149.07168
0004T,29.989999999999988,6787.0,3130.8604373374437,8.011906367401984,"Belconnen Way, Belconnen ACT 2617, Australia",-35.24897,149.0715
0004U,44.889999999999965,11715.0,5404.159425874193,13.829303535304884,"Belconnen Way, Bruce ACT 2617, Australia",-35.25219,149.08217
0004V,22.449999999999996,7315.0,3374.428186109238,8.635198921105866,"Belconnen Way, Bruce ACT 2617, Australia",-35.25228,149.08175
0004Y,6.95,1171.0,540.1852913101733,1.382340114369784,"Belconnen Way, Bruce ACT 2617, Australia",-35.25865000000001,149.09261
0004Z,7.8500000000000005,2211.0,1019.93994798189,2.6100375686350064,"Belconnen Way, Bruce ACT 2617, Australia",-35.25994,149.09585
0004Z1,188.52000000000024,141909.0,65462.984205410234,167.520498112811,"Belconnen Way, Bruce ACT 2617, Australia",-35.26,149.10064
0004Z2,10.48,4069.0,1877.0400942280917,4.803366289812683,"Belconnen Way, Bruce ACT 2617, Australia",-35.26024000000001,149.0997
0005A,162.26000000000013,85087.0,137986.52459845168,334.2771590216191,"3-9 Bowen Dr, Barton ACT 2600, Australia",-35.30842,149.1391
0005B,269.5200000000006,174035.0,282234.47540154826,683.7228409783808,"9 Bowen Dr, Barton ACT 2600, Australia",-35.30591,149.13967
0006F,2.83,1033.0,0.0,0.0,"Coppins Crossing Rd, Molonglo Valley ACT 2611, Australia",-35.27135,149.05033
0007A,129.5399999999999,105390.0,60290.531660648754,141.92154019178406,"Drakeford Dr, Kambah ACT 2902, Australia",-35.39358,149.07025
0007B,21.449999999999996,10856.0,6210.39957973245,14.619036344264236,"Drakeford Dr, Kambah ACT 2902, Australia",-35.39316,149.07029
0007C,174.50000000000017,154058.0,88132.06875961879,207.4594234639517,"Drakeford Dr, Kambah ACT 2902, Australia",-35.38908,149.0658
0008A,40.49999999999998,25433.0,7379.353945421027,20.801794199361254,"Erindale Dr, Fadden ACT 2904, Australia",-35.39989,149.1061
0008B,131.1199999999999,51593.0,14969.646054578972,42.19820580063874,"Erindale Dr, Fadden ACT 2904, Australia",-35.39788,149.10498
0009A,13.09,5154.0,5145.048655275457,14.216841621331698,"111 Florey Dr, MacGregor ACT 2615, Australia",-35.20891000000001,149.02705
0009B,12.14,7029.0,7016.7921998314305,19.388859091257373,"7 Florey Dr, MacGregor ACT 2615, Australia",-35.21819,149.01942
0009D,197.80000000000035,105276.0,105093.15914489311,290.39429928741094,"123 Florey Dr, MacGregor ACT 2615, Australia",-35.20743,149.02678
0010A,18.130000000000003,7245.0,1033.731553545257,2.74612119068075,"Ginninderra Dr, Flynn ACT 2615, Australia",-35.20891000000001,149.03699
0010B,8.27,1717.0,244.98510385606713,0.6508060848031536,"Ginninderra Dr, Flynn ACT 2615, Australia",-35.20914,149.03686
